#Hinchliff CE, Roalson EH (2012) Data from: Using supermatrices for phylogenetic inquiry: an example using the sedges. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.6p76c3pb
#http://datadryad.org/bitstream/handle/10255/dryad.38186/cyp_states.csv

name,tropical
Carex_cruciata,1
Carex_cruenta,0
Carex_corvi,0
Carex_cryptolepis,0
Carex_cryptostachys,1
Carex_cubensis,1
Carex_cuchumatanensis,1
Carex_culmenicola,1
Carex_cumberlandensis,0
Carex_curaica,0
Carex_curatorum,0
Carex_curvicollis,0
Carex_curviculmis,1
Carex_curvula,0
Carex_cusickii,0
Carex_cuspidosa,0
Carex_cylindrostachya,1
Carex_cyprica,0
Carex_cyrtosaccus,1
Carex_dabieensis,0
Carex_dahurica,0
Carex_dailingensis,0
Carex_daisenensis,0
Carex_dallii,0
Carex_daltonii,0
Carex_damiaoshanensis,0
Carex_darwinii,0
Carex_dasycarpa,0
Carex_davalliana,0
Carex_smithii,1
Carex_davidii,0
Carex_davisii,0
Carex_davyi,0
Carex_dayuongensis,0
Carex_debeauxii,0
Carex_debilis,0
Carex_decaulescens,0
Carex_decidua,0
Carex_deciduisquama,0
Carex_declinata,0
Carex_decomposita,0
Carex_decora,0
Carex_decurtata,0
Carex_deflexa,0
Carex_delavayi,0
Carex_delicata,0
Carex_densicaespitosa,0
Carex_densifimbriata,0
Carex_densinervosa,1
Carex_densipilosa,0
Carex_depauperata,0
Carex_depressa,0
Carex_deqinensis,0
Carex_desponsa,0
Carex_devia,0
Carex_deweyana,0
Carex_dianae,1
Carex_diandra,0
Carex_diastena,0
Carex_dickinsii,0
Carex_dielsiana,0
Carex_digitalis,0
Carex_digitata,0
Carex_diluta,0
Carex_diminuta,1
Carex_dimorpholepis,0
Carex_dioica,0
Carex_diplodon,0
Carex_dipsacea,0
Carex_dispalata,0
Carex_disperma,0
Carex_dissita,0
Carex_dissitiflora,0
Carex_dissitispicula,0
Carex_distachya,0
Carex_distans,0
Carex_distentiformis,1
Carex_disticha,0
Carex_distracta,0
Carex_divisa,0
Carex_divulsa,0
Carex_doenitzii,0
Carex_doisutepensis,1
Carex_dolichogyne,0
Carex_dolichostachya,0
Carex_dolomitica,0
Carex_smithii,1
Carex_douglasii,0
Carex_drepanorhyncha,0
Carex_druceana,0
Carex_drymophila,0
Carex_dunniana,0
Carex_durangensis,0
Carex_durieui,0
Carex_duriuscula,0
Carex_dusenii,0
Carex_duvaliana,0
Carex_earistata,0
Carex_ebenea,0
Carex_eburnea,0
Carex_echinata,1
Carex_echinochloe,1
Carex_echinochloiformis,0
Carex_echinus,0
Carex_ecklonii,0
Carex_ecostata,0
Carex_ecuadorica,1
Carex_edgariae,0
Carex_edwardsiana,0
Carex_egena,0
Carex_egglestonii,0
Carex_egorovae,0
Carex_ekmanii,1
Carex_elata,0
Carex_elatior,1
Carex_eleusinoides,0
Carex_elingamita,0
Carex_elliottii,0
Carex_elongata,0
Carex_eluta,1
Carex_elynoides,0
Carex_emirnensis,1
Carex_emoryi,0
Carex_endlichii,0
Carex_enervis,0
Carex_engelmannii,0
Carex_enneastachya,1
Carex_enokii,0
Carex_enysii,0
Carex_erawinensis,0
Carex_ereica,0
Carex_eremitica,0
Carex_eremopyroides,0
Carex_eremostachya,1
Carex_ericetorum,0
Carex_eriocarpa,0
Carex_erythrobasis,0
Carex_erythrorrhiza,1
Carex_esquiroliana,0
Carex_esquirolii,0
Carex_euprepes,1
Carex_euryphylla,1
Carex_evadens,0
Carex_excelsa,0
Carex_exilis,0
Carex_exsiccata,0
Carex_extensa,0
Carex_faberiana,0
Carex_fastigiata,0
Carex_feanii,1
Carex_fecunda,1
Carex_feddeana,0
Carex_fedia,1
Carex_fenghuangshanica,0
Carex_fernandezensis,0
Carex_ferruginea,0
Carex_festivelloides,0
Carex_festucacea,0
Carex_filamentosa,0
Carex_filicina,1
Carex_filifolia,0
Carex_filiformis,0
Carex_filipedunculata,0
Carex_filipes,0
Carex_fimbriata,0
Carex_finitima,1
Carex_firma,0
Carex_firmicaulis,0
Carex_fischeri,1
Carex_fissa,0
Carex_fissuricola,0
Carex_flabellata,0
Carex_flacca,0
Carex_flaccosperma,0
Carex_flagellifera,0
Carex_flava,0
Carex_flaviformis,0
Carex_flavocuspis,0
Carex_flexirostris,1
Carex_floridana,0
Carex_fluviatilis,1
Carex_foenea,0
Carex_foetida,0
Carex_fokienensis,0
Carex_foliosissima,0
Carex_folliculata,0
Carex_foraminata,0
Carex_foraminatiformis,0
Carex_forficula,0
Carex_formosa,0
Carex_forrestii,0
Carex_forsteri,0
Carex_fossa,0
Carex_fracta,0
Carex_fragilis,0
Carex_frankii,0
Carex_fretalis,0
Carex_frigida,0
Carex_fritschii,0
Carex_fructus,0
Carex_fucata,0
Carex_fuliginosa,0
Carex_fulta,0
Carex_fulvorubescens,0
Carex_funhuangshanica,0
Carex_funingensis,0
Carex_furva,0
Carex_fusanensis,0
Carex_fuscolutea,0
Carex_fuscula,0
Carex_fusiformis,0
Carex_gandakiensis,0
Carex_gaudichaudiana,0
Carex_gayana,0
Carex_gemella,1
Carex_geminata,0
Carex_genkaiensis,0
Carex_gentilis,0
Carex_geophila,0
Carex_geyeri,0
Carex_gholsonii,0
Carex_gibba,0
Carex_gibbsiae,1
Carex_gifuensis,0
Carex_gigantea,0
Carex_giraldiana,0
Carex_giraudiasii,0
Carex_glabrescens,0
Carex_glacialis,0
Carex_glareosa,0
Carex_glaucescens,0
Carex_glauciformis,0
Carex_glaucodea,0
Carex_globistylosa,0
Carex_globosa,0
Carex_globularis,0
Carex_globulosa,1
Carex_glomerabilis,0
Carex_glossostigma,0
Carex_gmelinii,0
Carex_godfreyi,0
Carex_goligongshanensis,0
Carex_gonggaensis,0
Carex_gongshanensis,0
Carex_gonochorica,1
Carex_gotoi,0
Carex_goyenii,0
Carex_gracilenta,0
Carex_graciliflora,0
Carex_gracilior,0
Carex_gracilispica,1
Carex_gracillima,0
Carex_graeffeana,1
Carex_grallatoria,0
Carex_graminiculmis,0
Carex_graminifolia,1
Carex_grandiligulata,0
Carex_granifera,0
Carex_granularis,0
Carex_gravida,0
Carex_griersonii,0
Carex_grioletii,0
Carex_grisea,0
Carex_guatemalensis,1
Carex_guffroyi,1
Carex_gunniana,0
Carex_gynaecandra,0
Carex_gynandra,0
Carex_gynocrates,0
Carex_gynodynama,0
Carex_hachijoensis,0
Carex_haematorrhyncha,0
Carex_haematosaccus,1
Carex_haematostoma,0
Carex_hakkodensis,0
Carex_hakonemontana,0
Carex_hakonensis,0
Carex_halleriana,0
Carex_halliana,0
Carex_hallii,0
Carex_hanamninhensis,1
Carex_hancockiana,0
Carex_hanensis,0
Carex_hangtongensis,0
Carex_hangzhouensis,0
Carex_harfordii,0
Carex_harlandii,1
Carex_harrysmithii,0
Carex_hartmanii,0
Carex_hashimotoi,0
Carex_hassei,0
Carex_hassiana,0
Carex_hastata,0
Carex_hattoriana,1
Carex_hatuyenensis,1
Carex_haydeniana,0
Carex_haydenii,0
Carex_hebecarpa,1
Carex_hebes,0
Carex_hebetata,1
Carex_hectori,0
Carex_heleonastes,0
Carex_helferi,1
Carex_helleri,0
Carex_helodes,0
Carex_hemineuros,0
Carex_hendersonii,0
Carex_hermannii,1
Carex_herteri,0
Carex_heshuonensis,0
Carex_heterodoxa,1
Carex_heterolepis,0
Carex_heteroneura,0
Carex_heterostachya,0
Carex_heudesii,0
Carex_hexinensis,0
Carex_hezhouensis,0
Carex_hieronymi,0
Carex_hilairei,0
Carex_hilaireioides,0
Carex_hildebrandtiana,1
Carex_himalaica,0
Carex_hinnulea,1
Carex_hirsutella,0
Carex_hirta,0
Carex_hirticaulis,0
Carex_hirtifolia,0
Carex_hirtigluma,1
Carex_hirtissima,0
Carex_hirtiutriculata,0
Carex_hispida,0
Carex_hitchcockiana,0
Carex_hoatiensis,0
Carex_hochstetteriana,0
Carex_holostoma,0
Carex_holotricha,0
Carex_hondoensis,0
Carex_hongnoensis,0
Carex_hongyuanensis,0
Carex_hoodii,0
Carex_hookeri,1
Carex_hookeriana,0
Carex_hoozanensis,1
Carex_hopeiensis,0
Carex_hordeistichos,0
Carex_horsfieldii,1
Carex_hostiana,0
Carex_hotaizanensis,0
Carex_houghtoniana,0
Carex_hovarum,1
Carex_huashanica,0
Carex_hubbardii,0
Carex_huehueteca,1
Carex_hultenii,1
Carex_humahuacaensis,1
Carex_humbertiana,0
Carex_humbertii,1
Carex_humboldtiana,1
Carex_humida,0
Carex_humilis,0
Carex_humpatensis,1
Carex_huolushanensis,0
Carex_husnotiana,0
Carex_hwangii,0
Carex_hyalina,0
Carex_hyalinolepis,0
Carex_hymenodon,0
Carex_hymenolepis,0
Carex_hypandra,0
Carex_hypaneura,0
Carex_hypoblephara,0
Carex_hypolytroides,1
Carex_hypsipedos,1
Carex_hypsobates,0
Carex_hystericina,0
Carex_ichangensis,0
Carex_idahoa,0
Carex_idzuroei,0
Carex_iljinii,0
Carex_illegitima,0
Carex_illota,0
Carex_impexa,0
Carex_impressinervia,0
Carex_impura,0
Carex_inamii,0
Carex_inanis,0
Carex_incisa,0
Carex_inclinis,0
Carex_incomitata,0
Carex_incurviformis,0
Carex_indica,1
Carex_indiciformis,0
Carex_indistincta,0
Carex_indosinica,1
Carex_infirminervia,0
Carex_infossa,0
Carex_infuscata,0
Carex_inopinata,0
Carex_inops,0
Carex_insaniae,0
Carex_insignis,1
Carex_insularis,1
Carex_integra,0
Carex_interior,0
Carex_interrupta,0
Carex_intumescens,0
Carex_inversa,0
Carex_inversonervosa,1
Carex_iraqensis,0
Carex_ischnogyne,1
Carex_ischnostachya,0
Carex_ivanoviae,0
Carex_ixtapalucensis,1
Carex_iynx,0
Carex_jacens,0
Carex_jackiana,1
Carex_jacutica,0
Carex_jaluensis,0
Carex_jamesii,0
Carex_jamesonii,1
Carex_jankowskii,0
Carex_japonica,0
Carex_jeanpertii,1
Carex_jiaodongensis,0
Carex_jinfoshanensis,0
Carex_ohwiana,0
Carex_jizhuangensis,0
Carex_johnstonii,1
Carex_jonesii,0
Carex_joorii,0
Carex_jubozanensis,0
Carex_juniperorum,0
Carex_juvenilis,1
Carex_kabanovii,0
Carex_kagoshimensis,0
Carex_kaloides,0
Carex_kansuensis,0
Carex_kaoi,0
Carex_karisimbiensis,1
Carex_karlongensis,0
Carex_kashmirensis,0
Carex_kauaiensis,1
Carex_kermadecensis,0
Carex_khoii,1
Carex_kiangsuensis,0
Carex_killickii,0
